,Acquisitions,Explore,Inactive,Raise,Search,Investments,Acquisition Rate,Failure Rate,Still Searching
 'Tcg Search Investors ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'William F ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Rafael Somoza',35.0,1.0,2.0,0.0,9.0,47.0,0.7446808510638298,0.0425531914893617,0.2127659574468085
 'Robert Parker ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jim Ellis',47.0,0.0,7.0,0.0,10.0,64.0,0.734375,0.109375,0.15625
 'Joseph Gorman ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Natalie Cryer',19.0,0.0,1.0,0.0,12.0,32.0,0.59375,0.03125,0.375
'John Barrow ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Chuck Grant ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Todd Peterson ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Pablo Gonzalez ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jose Antonio Fernandez Carbajal ',1.0,0.0,0.0,0.0,2.0,3.0,0.3333333333333333,0.0,0.6666666666666666
 'Armando Garza Sada ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Rodrigo Herrera ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
