,name,type,formed,Search Location,stage,company,acquired,Searchfund Index,searchWebsite,companyWebsite,industry,Acquistion Location,searchers,investors,associates,Search Length,search long,search lat,acquisition lat,acquisition long,Miles Between Search and Acquisiton
2049,AEOLA Health Solutions  ,Traditional,2020-06-01,"Miramar, FL, USA",Search,,,1760,Aeolahealthsolutions.com,,,,'Michael Ezem',,,,-80.33472128115224,25.97591145,NaN,NaN,NaN
2050,Bold Bridge Capital  ,Self Funded,2021-05-01,"Austin, TX, USA",Search,,,2016,,,,,'Jeff Dyck',,,,-97.7436995,30.2711286,NaN,NaN,NaN
2051,Bay Street Capital Investments  ,Traditional,2021-09-01,"Toronto, Ontario, Canada",Search,,,2272,https://www.baystreetci.com/,,,,'Ali Badruddin','Jos Moreno',,,-79.3839347,43.6534817,NaN,NaN,NaN
2052,Captiva Partners  London Business School,Self Funded,2013-11-11,"London, United Kingdom",Search,,,225,http://www.captiva-uk.com/,,,,"'Harry Cuadrado ', 'Hans Weemaes'",,,,-0.1276474,51.5073219,NaN,NaN,NaN
2053,Quantico Capital Partners  ,Traditional,2018-04-01,"Buenos Aires, CABA, Argentina",Inactive,,,737,www.quanticocapitalpartners.com,,,,'Bernardo Loitegui',"'Jorge Maortua ', 'Miguel Angel Cestero de Francisco ', 'Daniel Palacios', 'Alfredo Irigoin ', 'Carlos Herminio Blaquier ', 'Tushar Shah', 'Mark Egan ', 'Bill Egan ', 'Rajesh Sood ', 'Jose M Cabiedes ', 'Scott Asen', 'Peter Schober', 'Jan Simon', 'Jos Moreno', 'Francisco Galiana ', 'Jos M. Jerz ', 'Marcelo Castro Zappa', 'Miguel Albero ', 'Simon Webster'",,,-58.4370894,-34.6075682,NaN,NaN,NaN
2054,Creo  ,Traditional,2018-11-15,"New York, NY, USA",Explore,,,993,,,,,'Sadia Sharmin',,,,-74.0060152,40.7127281,NaN,NaN,NaN
2055,Henley Park Capital - Search  ,Traditional,2019-08-27,"Washington D.C., DC, USA",Raise,,,1249,,,,,'Otis Ofori',,,,-77.0365427,38.8950368,NaN,NaN,NaN
2056,Aldrich Holdings  ,Self Funded,,"Huntsville, AL, USA",Search,,,1761,www.aldrichholdings.com,,,,'Brock Wilson',,,,-86.5859011,34.729847,NaN,NaN,NaN
2057,Kingsway CAP II  ,Single Sponsor,2021-06-01,"Atlanta, GA, USA",Search,,,2017,http://www.kingsway-financial.com/,,,,'Charles Mokuolu',,,,-84.3902644,33.7489924,NaN,NaN,NaN
2058,Onyx Peak Capital  ,Traditional,,"Los Angeles, CA, USA",Search,,,2273,https://www.onyxpeakcapital.com/,,,,'Justin Loutfy',,,,-118.242766,34.0536909,NaN,NaN,NaN
2059,Lomba Capital  ,Traditional,2015-10-10,"Barcelona, Spain",Inactive,,,226,http://lombacapital.com/,,,,'Ricky Velilla Flores',"'Jos Stella', 'Jose M Cabiedes ', 'Rob Johnson ', 'Frank Kenny ', 'Len Bartolom ', 'Carlos Gila', 'Coley Andrews', 'Francisco Galiana ', 'Jrgen Rilling ', 'Jos M. Jerz ', 'Jorge Maortua ', 'Marcelo Castro Zappa', 'Simon Webster', 'Miguel Angel Cestero de Francisco ', 'Jim Southern', 'Sandro Mina', 'Martin Steber', 'Miguel Albero ', 'Will Thorndike'",'Jean Paul Destarac',,2.1774322,41.3828939,NaN,NaN,NaN
2060,Amroth Capital  ,Self Funded,2017-06-03,"Baulkham Hills NSW 2153, Australia",Search,,,738,https://www.amrothcapital.com/,,,,'Brett Mather',,,,150.9914041,-33.7611198,NaN,NaN,NaN
2061,Crestone Analytics  ,Self Funded,2018-11-17,"Denver, CO, USA",Search,,,994,,,,,'Ram Balakumar',,,,-104.9848623,39.7392364,NaN,NaN,NaN
2062,Brackenwell LLC  ,Traditional,2019-05-16,"Vermont, USA",Explore,,,1250,www.brackenwell.com,,,,'Anne Marie Pecha',,,,-72.5002608,44.5990718,NaN,NaN,NaN
2063,Ancora Capital  ,Traditional,2020-08-01,"Monterrey, Nuevo Leon, Mexico",Explore,,,1506,www.ancora-capital.com,,,,'Diego Rodriguez  ',,,,-100.315258,25.6802019,NaN,NaN,NaN
